Time,position_x,linear_velocity_x,input_propeller
1.71447e+09,0,3.05412e-43,91.8043
1.71447e+09,-0.00211436,-0.0211436,174.921
1.71447e+09,-0.0136107,-0.114963,61.4141
1.71447e+09,-0.0322419,-0.186312,2.65922
1.71447e+09,-0.0516243,-0.193824,125.465
1.71447e+09,-0.0749398,-0.233155,192.695
1.71447e+09,-0.110727,-0.357868,11.084
1.71447e+09,-0.153999,-0.432729,150.734
1.71447e+09,-0.202914,-0.48915,103.5
1.71447e+09,-0.259007,-0.560922,50.401
1.71447e+09,-0.317771,-0.58764,14.7957
1.71447e+09,-0.376962,-0.591909,68.3239
1.71447e+09,-0.437223,-0.602615,155.151
1.71447e+09,-0.504308,-0.670855,177.125
1.71447e+09,-0.583926,-0.796173,26.3158
1.71447e+09,-0.669787,-0.858611,65.3319
1.71447e+09,-0.756555,-0.867686,161.804
1.71447e+09,-0.850431,-0.938757,167.641
1.71447e+09,-0.956258,-1.05827,170.076
1.71447e+09,-1.07453,-1.18268,27.6787
1.71447e+09,-1.19824,-1.23713,24.6694
1.71447e+09,-1.32164,-1.23396,106.093
1.71447e+09,-1.44735,-1.25713,5.70776
1.71447e+09,-1.57469,-1.27343,65.3594
1.71447e+09,-1.70245,-1.27757,32.8099
1.71447e+09,-1.83067,-1.28221,5.28024
1.71447e+09,-1.95845,-1.27775,24.2346
1.71447e+09,-2.08571,-1.27263,73.5988
1.71447e+09,-2.21378,-1.28076,30.5999
1.71447e+09,-2.34252,-1.28732,53.6557
1.71447e+09,-2.47148,-1.28965,135.315
1.71447e+09,-2.60493,-1.33445,174.354
1.71447e+09,-2.74893,-1.44004,4.9921
1.71447e+09,-2.89821,-1.49278,195.082
1.71447e+09,-3.05609,-1.57887,69.2031
1.71447e+09,-3.22181,-1.65715,195.662
1.71447e+09,-3.39693,-1.75124,189.29
1.71447e+09,-3.58744,-1.90509,124.926
1.71447e+09,-3.78756,-2.00117,128.023
1.71447e+09,-3.99327,-2.0571,149.241
1.71447e+09,-4.2061,-2.12835,39.5934
1.71447e+09,-4.42289,-2.16783,44.8288
1.71447e+09,-4.63858,-2.15687,177.165
1.71447e+09,-4.86061,-2.22033,159.369
1.71447e+09,-5.09326,-2.32652,25.5224
1.71447e+09,-5.32896,-2.35701,76.5084
1.71447e+09,-5.564,-2.35037,104.568
1.71447e+09,-5.80069,-2.36694,12.1876
1.71447e+09,-6.03734,-2.36646,61.0836
1.71447e+09,-6.27267,-2.35334,22.867
1.71447e+09,-6.50664,-2.33964,142.98
1.71447e+09,-6.74358,-2.36946,131.366
1.71447e+09,-6.98665,-2.43062,96.1254
1.71447e+09,-7.23307,-2.46422,129.352
1.71447e+09,-7.48305,-2.49979,166.354
1.71447e+09,-7.74074,-2.5769,125.082
1.71447e+09,-8.00516,-2.64428,163.087
