Time,position_x,linear_velocity_x,input_propeller
1.71445e+09,0,3.05412e-43,761.432
1.71445e+09,-0.145215,-1.45215,-489.864
1.71445e+09,-0.345922,-2.00707,412.528
1.71445e+09,-0.53933,-1.93408,-163.061
1.71445e+09,-0.758685,-2.19355,12.2773
1.71445e+09,-0.970797,-2.12113,295.706
1.71445e+09,-1.20293,-2.32133,127.498
1.71445e+09,-1.45442,-2.51495,-433.227
1.71445e+09,-1.65979,-2.05363,909.615
1.71445e+09,-2.03202,-3.72228,-467.746
1.71445e+09,-2.50813,-4.76116,-44.2506
1.71445e+09,-2.93134,-4.23209,810.014
1.71445e+09,-3.50956,-5.7822,723.612
1.71445e+09,-4.33189,-8.22331,-150.079
1.71445e+09,-5.22327,-8.91379,-857.644
1.71445e+09,-5.89778,-6.74506,551.125
1.71445e+09,-6.48474,-5.8696,-298.211
1.71445e+09,-7.09553,-6.10796,563.337
1.71445e+09,-7.75234,-6.56806,992.346
1.71445e+09,-8.69609,-9.43751,883.67
1.71445e+09,-9.984,-12.8791,-202.463
1.71445e+09,-11.3448,-13.6081,940.619
1.71445e+09,-12.8402,-14.954,430.852
1.71445e+09,-14.4592,-16.1896,-145.76
1.71445e+09,-16.0064,-15.4727,381.751
1.71445e+09,-17.4923,-14.8585,953.704
1.71445e+09,-19.1396,-16.4729,-601.624
1.71445e+09,-20.764,-16.2439,-234.793
1.71445e+09,-22.2054,-14.414,573.217
1.71445e+09,-23.6353,-14.2992,615.431
1.71445e+09,-25.1392,-15.0394,-439.133
1.71445e+09,-26.5798,-14.4061,-293.72
1.71445e+09,-27.8824,-13.0262,387.354
1.71445e+09,-29.1389,-12.5648,293.746
1.71445e+09,-30.3832,-12.4424,224.959
1.71445e+09,-31.5956,-12.1239,750.737
1.71445e+09,-32.8972,-13.0161,-821.435
1.71445e+09,-34.0752,-11.7802,-838.457
1.71445e+09,-34.8971,-8.21892,375.527
1.71445e+09,-35.5898,-6.92732,159.507
1.71445e+09,-36.2972,-7.07403,946.582
1.71445e+09,-37.21,-9.12826,-45.3148
1.71445e+09,-38.2618,-10.5178,-697.611
1.71445e+09,-39.1504,-8.88563,643.689
1.71445e+09,-40.015,-8.64664,980.039
1.71445e+09,-41.1651,-11.5008,687.088
1.71445e+09,-42.5605,-13.9539,902.411
1.71445e+09,-44.1659,-16.0541,-135.984
1.71445e+09,-45.8189,-16.53,845.238
1.71445e+09,-47.5352,-17.1632,1.96175
1.71445e+09,-49.2706,-17.3533,99.7091
1.71445e+09,-50.8925,-16.2189,499.848
1.71445e+09,-52.475,-15.8249,58.6458
1.71445e+09,-54.0081,-15.3319,939.776
1.71445e+09,-55.6642,-16.5606,-675.021
1.71445e+09,-57.2688,-16.0455,-139.873
1.71445e+09,-58.6837,-14.1491,295.078
1.71445e+09,-60.0381,-13.5447,-964.065
1.71445e+09,-61.1112,-10.7307,-901.331
1.71445e+09,-61.7597,-6.48465,391.33
1.71445e+09,-62.2694,-5.09674,-876.545
1.71445e+09,-62.6081,-3.38781,785.685
1.71445e+09,-62.9426,-3.34425,-620.593
1.71445e+09,-63.2993,-3.56754,-143.812
1.71445e+09,-63.569,-2.69691,-177.009
1.71445e+09,-63.8238,-2.54797,-102.43
1.71445e+09,-64.0671,-2.43281,81.7599
1.71445e+09,-64.3075,-2.40446,-3.32816
1.71445e+09,-64.547,-2.39434,-631.707
1.71445e+09,-64.6845,-1.37466,-288.127
1.71445e+09,-64.7199,-0.354368,-117.007
1.71445e+09,-64.7351,-0.151521,-275.028
1.71445e+09,-64.7285,0.0660463,822.965
1.71445e+09,-64.8762,-1.47743,-700.697
1.71445e+09,-65.0363,-1.60024,-589.833
1.71445e+09,-65.0091,0.271521,-724.728
1.71445e+09,-64.7805,2.28635,-708.746
1.71445e+09,-64.3244,4.56181,-395.554
1.71445e+09,-63.7388,5.85645,-710.727
1.71445e+09,-63.0115,7.27311,351.275
1.71445e+09,-62.2374,7.74201,-493.422
1.71445e+09,-61.4512,7.86254,800.458
1.71445e+09,-60.8001,6.51154,-531.022
1.71445e+09,-60.2222,5.78009,-726.126
1.71445e+09,-59.4722,7.50058,500.764
1.71445e+09,-58.7038,7.68489,-296.262
1.71445e+09,-57.9862,7.17705,660.218
1.71445e+09,-57.3795,6.06734,-105.929
1.71445e+09,-56.8706,5.08964,-549.439
1.71445e+09,-56.2951,5.75506,550.743
1.71445e+09,-55.7487,5.46519,-19.8416
1.71445e+09,-55.2739,4.74783,-313.396
1.71445e+09,-54.7839,4.90142,-62.8926
1.71445e+09,-54.2831,5.00856,-473.79
1.71445e+09,-53.736,5.47154,-545.007
1.71445e+09,-53.0833,6.527,799.585
1.71445e+09,-52.5476,5.3584,250.317
1.71445e+09,-52.1653,3.82289,667.983
1.71445e+09,-51.9125,2.52862,75.6398
1.71445e+09,-51.7531,1.59391,-387.16
1.71445e+09,-51.5585,1.94647,-947.882
1.71445e+09,-51.1118,4.46744,-913.035
1.71445e+09,-50.2907,8.21206,-328.834
1.71445e+09,-49.3087,9.82131,-930.897
1.71445e+09,-48.1322,11.7662,-986.11
1.71445e+09,-46.6097,15.2265,551.352
1.71445e+09,-45.0688,15.4109,-386.761
1.71445e+09,-43.6407,14.2824,560.735
1.71445e+09,-42.34,13.0082,747.721
1.71445e+09,-41.3016,10.3852,-911.947
1.71445e+09,-40.2099,10.9184,504.043
1.71445e+09,-39.0683,11.4174,-162.554
1.71445e+09,-38.0201,10.4835,310.602
1.71445e+09,-37.0337,9.86506,-735.881
1.71445e+09,-35.9718,10.6203,-504.953
1.71445e+09,-34.7885,11.8344,-199.978
1.71445e+09,-33.6018,11.8686,-814.546
1.71445e+09,-32.3011,13.0078,654.373
1.71445e+09,-31.0451,12.5616,-227.616
1.71445e+09,-29.9198,11.2546,-570.236
1.71445e+09,-28.755,11.6493,-704.12
1.71445e+09,-27.4608,12.9434,166.236
1.71445e+09,-26.1449,13.1604,-571.7
1.71445e+09,-24.8224,13.2264,379.888
1.71445e+09,-23.5414,12.8116,-193.504
1.71445e+09,-22.3429,11.987,-198.62
1.71445e+09,-21.1839,11.5914,35.9012
1.71445e+09,-20.0704,11.1362,-431.575
1.71445e+09,-18.9604,11.1011,562.775
1.71445e+09,-17.9406,10.199,461.695
1.71445e+09,-17.0752,8.65526,-206.343
1.71445e+09,-16.2704,8.0491,-908.589
1.71445e+09,-15.2805,9.90071,411.805
1.71445e+09,-14.2123,10.6829,-664.838
1.71445e+09,-13.1136,10.9885,633.612
1.71445e+09,-12.076,10.3782,627.662
1.71445e+09,-11.2548,8.21305,-557.138
1.71445e+09,-10.4606,7.94225,984.756
1.71445e+09,-9.87027,5.90445,-716.363
1.71445e+09,-9.35815,5.12173,876.518
1.71445e+09,-8.94587,4.12309,-899.218
1.71445e+09,-8.49237,4.53543,308.924
1.71445e+09,-7.91149,5.80977,141.3
1.71445e+09,-7.36785,5.43721,654.48
1.71445e+09,-6.94617,4.21716,556.326
1.71445e+09,-6.69379,2.52328,-849.614
1.71445e+09,-6.32619,3.67611,237.741
1.71445e+09,-5.83525,4.91045,472.704
1.71445e+09,-5.42059,4.14716,-550.609
1.71445e+09,-4.98198,4.38694,366.843
1.71445e+09,-4.52459,4.5749,171.821
1.71445e+09,-4.10962,4.15049,-539.585
1.71445e+09,-3.63532,4.74463,-368.458
1.71445e+09,-3.07917,5.56437,408.159
1.71445e+09,-2.55,5.29446,-736.539
1.71445e+09,-1.93096,6.19516,-627.06
1.71445e+09,-1.1248,8.07048,562.145
1.71445e+09,-0.346022,7.79669,831.064
1.71445e+09,0.176755,5.23088,-46.9892
1.71445e+09,0.552578,3.75768,-562.01
1.71445e+09,1.00114,4.48803,798.473
1.71445e+09,1.34597,3.44708,546.851
1.71445e+09,1.48464,1.37705,-845.699
1.71445e+09,1.74024,2.55238,-12.814
1.71445e+09,2.13472,3.94904,-192.896
1.71445e+09,2.53191,3.9772,-590.686
1.71445e+09,3.01581,4.85127,288.956
1.71445e+09,3.53777,5.23607,-63.1356
1.71445e+09,4.03305,4.96893,654.372
1.71445e+09,4.41356,3.81257,86.5046
1.71445e+09,4.70157,2.88012,5.83619
1.71445e+09,4.98439,2.829,350.495
1.71445e+09,5.23336,2.48787,357.402
